"urdu","roman"
"ہوائی دہر ہمیں کس لیی بجہاتی ہی","havaedahr hamen kis liye bujhati hai"
"ہمیں تو تجہ سی کبہی اختلاف بہی نہ ہوا","hamen to tujh se kabhi ikhtilaf bhi na hua"
"عکس خوشبو ہوں بکہرنی سی نہ روکی کوئی","aksekhushbu huun bikharne se na roke koi"
"اور بکہر جاؤں تو مجہ کو نہ سمیٹی کوئی","aur bikhar jaun to mujh ko na samete koi"
"کانپ اٹہتی ہوں میں یہ سوچ کی تنہائی میں","kaanp uthti huun main ye soch ke tanhai men"
"میری چہری پہ ترا نام نہ پڑہ لی کوئی","mere chehre pe tira naam na padh le koi"
"جس طرح خواب مری ہو گئی ریزہ ریزہ","jis tarah khvab mire ho gae reza reza"
"اس طرح سی نہ کبہی ٹوٹ کی بکہری کوئی","us tarah se na kabhi tuut ke bikhre koi"
"میں تو اس دن سی ہراساں ہوں کہ جب حکم ملی","main to us din se hirasan huun ki jab hukm mile"
"خشک پہولوں کو کتابوں میں نہ رکہی کوئی","khushk phulon ko kitabon men na rakkhe koi"
"اب تو اس راہ سی وہ شخص گزرتا بہی نہیں","ab to is raah se vo shakhs guzarta bhi nahin"
"اب کس امید پہ دروازی سی جہانکی کوئی","ab kis ummid pe darvaze se jhanke koi"
"کوئی اہٹ کوئی اواز کوئی چاپ نہیں","koi aahat koi avaz koi chaap nahin"
"دل کی گلیاں بڑی سنسان ہیں ائی کوئی","dil ki galiyan badi sunsan hain aae koi"
"اپنی ہی صدا سنوں کہاں تک","apni hi sada sunun kahan tak"
"جنگل کی ہوا رہوں کہاں تک","jangal ki hava rahun kahan tak"
"ہر بار ہوا نہ ہوگی در پر","har baar hava na hogi dar par"
"ہر بار مگر اٹہوں کہاں تک","har baar magar uthun kahan tak"
"دم گہٹتا ہی گہر میں حبس وہ ہی","dam ghatta hai ghar men habs vo hai"
"خوشبو کی لئی رکوں کہاں تک","khushbu ke liye rukun kahan tak"
"پہر ا کی ہوائیں کہول دیں گی","phir aa ke havaen khol dengi"
"زخم اپنی رفو کروں کہاں تک","zakhm apne rafu karun kahan tak"
"ساحل پہ سمندروں سی بچ کر","sahil pe samundaron se bach kar"
"میں نام ترا لکہوں کہاں تک","main naam tira likhun kahan tak"
"تنہائی کا ایک ایک لمحہ","tanhai ka ek ek lamha"
"ہنگاموں سی قرض لوں کہاں تک","hangamon se qarz luun kahan tak"
"گر لمس نہیں تو لفظ ہی بہیج","gar lams nahin to lafz hi bhej"
"میں تجہ سی جدا رہوں کہاں تک","main tujh se juda rahun kahan tak"
"سکہ سی بہی تو دوستی کبہی ہو","sukh se bhi to dosti kabhi ho"
"دکہ سی ہی گلی ملوں کہاں تک","dukh se hi gale milun kahan tak"
"منسوب ہو ہر کرن کسی سی","mansub ho har kiran kisi se"
"اپنی ہی لیی جلوں کہاں تک","apne hi liye jalun kahan tak"
"انچل مری بہر کی پہٹ رہی ہیں","anchal mire bhar ke phat rahe hain"
"پہول اس کی لئی چنوں کہاں تک","phuul us ke liye chunun kahan tak"
"اپنی رسوائی تری نام کا چرچا دیکہوں","apni rusvai tire naam ka charcha dekhun"
"اک ذرا شعر کہوں اور میں کیا کیا دیکہوں","ik zara sher kahun aur main kya kya dekhun"
"نیند ا جائی تو کیا محفلیں برپا دیکہوں","niind aa jaae to kya mahfilen barpa dekhun"
"انکہ کہل جائی تو تنہائی کا صحرا دیکہوں","aankh khul jaae to tanhai ka sahra dekhun"
"شام بہی ہو گئی دہندلا گئیں انکہیں بہی مری","shaam bhi ho gai dhundla gaiin ankhen bhi miri"
"بہولنی والی میں کب تک ترا رستا دیکہوں","bhulne vaale main kab tak tira rasta dekhun"
"ایک اک کر کی مجہی چہوڑ گئیں سب سکہیاں","ek ik kar ke mujhe chhod gaiin sab sakhiyan"
"اج میں خود کو تری یاد میں تنہا دیکہوں","aaj main khud ko tiri yaad men tanha dekhun"
"کاش صندل سی مری مانگ اجالی ا کر","kaash sandal se miri maang ujale aa kar"
"اتنی غیروں میں وہی ہاتہ جو اپنا دیکہوں","itne ghairon men vahi haath jo apna dekhun"
"تو مرا کچہ نہیں لگتا ہی مگر جان حیات","tu mira kuchh nahin lagta hai magar janehayat"
"جانی کیوں تیری لیی دل کو دہڑکنا دیکہوں","jaane kyuun tere liye dil ko dhdakna dekhun"
"بند کر کی مری انکہیں وہ شرارت سی ہنسی","band kar ke miri ankhen vo shararat se hanse"
"بوجہی جانی کا میں ہر روز تماشا دیکہوں","bujhe jaane ka main har roz tamasha dekhun"
"سب ضدیں اس کی میں پوری کروں ہر بات سنوں","sab ziden us ki main puuri karun har baat sunun"
"ایک بچی کی طرح سی اسی ہنستا دیکہوں","ek bachche ki tarah se use hansta dekhun"
"مجہ پہ چہا جائی وہ برسات کی خوشبو کی طرح","mujh pe chha jaae vo barsat ki khushbu ki tarah"
"انگ انگ اپنا اسی رت میں مہکتا دیکہوں","ang ang apna isi rut men mahakta dekhun"
"پہول کی طرح مری جسم کا ہر لب کہل جائی","phuul ki tarah mire jism ka har lab khul jaae"
"پنکہڑی پنکہڑی ان ہونٹوں کا سایا دیکہوں","pankhudi pankhudi un honton ka saaya dekhun"
"میں نی جس لمحی کو پوجا ہی اسی بس اک بار","main ne jis lamhe ko puuja hai use bas ik baar"
"خواب بن کر تری انکہوں میں اترتا دیکہوں","khvab ban kar tiri ankhon men utarta dekhun"
"تو مری طرح سی یکتا ہی مگر میری حبیب","tu miri tarah se yakta hai magar mere habib"
"جی میں اتا ہی کوئی اور بہی تجہ سا دیکہوں","ji men aata hai koi aur bhi tujh sa dekhun"
"ٹوٹ جائیں کہ پگہل جائیں مری کچی گہڑی","tuut jaaen ki pighal jaaen mire kachche ghade"
"تجہ کو میں دیکہوں کہ یہ اگ کا دریا دیکہوں","tujh ko main dekhun ki ye aag ka dariya dekhun"
"اپنی تنہائی مری نام پہ اباد کری","apni tanhai mire naam pe abad kare"
"کون ہوگا جو مجہی اس کی طرح یاد کری","kaun hoga jo mujhe us ki tarah yaad kare"
"دل عجب شہر کہ جس پر بہی کہلا در اس کا","dil ajab shahr ki jis par bhi khula dar is ka"
"وہ مسافر اسی ہر سمت سی برباد کری","vo musafir ise har samt se barbad kare"
"اپنی قاتل کی ذہانت سی پریشان ہوں میں","apne qatil ki zehanat se pareshan huun main"
"روز اک موت نئی طرز کی ایجاد کری","roz ik maut nae tarz ki ijad kare"
"اتنا حیراں ہو مری بی طلبی کی اگی","itna hairan ho miri betalabi ke aage"
"وا قفس میں کوئی در خود مرا صیاد کری","va qafas men koi dar khud mira sayyad kare"
"سلب بینائی کی احکام ملی ہیں جو کبہی","salbebinai ke ahkam mile hain jo kabhi"
"روشنی چہونی کی خواہش کوئی شب زاد کری","raushni chhune ki khvahish koi shabzad kare"
"سوچ رکہنا بہی جرائم میں ہی شامل اب تو","soch rakhna bhi jaraem men hai shamil ab to"
"وہی معصوم ہی ہر بات پہ جو صاد کری","vahi maasum hai har baat pe jo saad kare"
"جب لہو بول پڑی اس کی گواہوں کی خلاف","jab lahu bol pade us ke gavahon ke khilaf"
"قاضئ شہر کچہ اس باب میں ارشاد کری","qazieshahr kuchh is baab men irshad kare"
"اس کی مٹہی میں بہت روز رہا میرا وجود","us ki mutthi men bahut roz raha mera vajud"
"میری ساحر سی کہو اب مجہی ازاد کری","mere sahir se kaho ab mujhe azad kare"
"اشک انکہ میں پہر اٹک رہا ہی","ashk aankh men phir atak raha hai"
"کنکر سا کوئی کہٹک رہا ہی","kankar sa koi khatak raha hai"
"میں اس کی خیال سی گریزاں","main us ke khayal se gurezan"
"وہ میری صدا جہٹک رہا ہی","vo meri sada jhatak raha hai"
"تحریر اسی کی ہی مگر دل","tahrir usi ki hai magar dil"
"خط پڑہتی ہوئی اٹک رہا ہی","khat padhte hue atak raha hai"
"ہیں فون پہ کس کی ساتہ باتیں","hain phone pe kis ke saath baten"
"اور ذہن کہاں بہٹک رہا ہی","aur zehn kahan bhatak raha hai"
"صدیوں سی سفر میں ہی سمندر","sadiyon se safar men hai samundar"
"ساحل پہ تہکن ٹپک رہا ہی","sahil pe thakan tapak raha hai"
"اک چاند صلیب شاخ گل پر","ik chand salibeshakhegul par"
"بالی کی طرح لٹک رہا ہی","baali ki tarah latak raha hai"
"بادباں کہلنی سی پہلی کا اشارہ دیکہنا","badban khulne se pahle ka ishara dekhna"
"میں سمندر دیکہتی ہوں تم کنارہ دیکہنا","main samundar dekhti huun tum kinara dekhna"
"یوں بچہڑنا بہی بہت اساں نہ تہا اس سی مگر","yuun bichhadna bhi bahut asan na tha us se magar"
"جاتی جاتی اس کا وہ مڑ کر دوبارہ دیکہنا","jaate jaate us ka vo mud kar dobara dekhna"
"کس شباہت کو لیی ایا ہی دروازی پہ چاند","kis shabahat ko liye aaya hai darvaze pe chand"
"ای شب ہجراں ذرا اپنا ستارہ دیکہنا","ai shabehijran zara apna sitara dekhna"
"کیا قیامت ہی کہ جن کی نام پر پسپا ہوئی","kya qayamat hai ki jin ke naam par paspa hue"
"ان ہی لوگوں کو مقابل میں صف ارا دیکہنا","un hi logon ko muqabil men safara dekhna"
"جب بنام دل گواہی سر کی مانگی جائی گی","jab banamedil gavahi sar ki mangi jaegi"
"خون میں ڈوبا ہوا پرچم ہمارا دیکہنا","khuun men duuba hua parcham hamara dekhna"
"جیتنی میں بہی جہاں جی کا زیاں پہلی سی ہی","jitne men bhi jahan ji ka ziyan pahle se hai"
"ایسی بازی ہارنی میں کیا خسارہ دیکہنا","aisi baazi harne men kya khasara dekhna"
"ائنی کی انکہ ہی کچہ کم نہ تہی میری لیی","aaine ki aankh hi kuchh kam na thi mere liye"
"جانی اب کیا کیا دکہائی گا تمہارا دیکہنا","jaane ab kya kya dikhaega tumhara dekhna"
"ایک مشت خاک اور وہ بہی ہوا کی زد میں ہی","ek mushtekhak aur vo bhi hava ki zad men hai"
"زندگی کی بی بسی کا استعارہ دیکہنا","zindagi ki bebasi ka istiara dekhna"
"بارش ہوئی تو پہولوں کی تن چاک ہو گئی","barish hui to phulon ke tan chaak ho gae"
"موسم کی ہاتہ بہیگ کی سفاک ہو گئی","mausam ke haath bhiig ke saffak ho gae"
"بادل کو کیا خبر ہی کہ بارش کی چاہ میں","badal ko kya khabar hai ki barish ki chaah men"
"کیسی بلند و بالا شجر خاک ہو گئی","kaise bulandobala shajar khaak ho gae"
"جگنو کو دن کی وقت پرکہنی کی ضد کریں","jugnu ko din ke vaqt parakhne ki zid karen"
"بچی ہماری عہد کی چالاک ہو گئی","bachche hamare ahd ke chalak ho gae"
"لہرا رہی ہی برف کی چادر ہٹا کی گہاس","lahra rahi hai barf ki chadar hata ke ghaas"
"سورج کی شہ پہ تنکی بہی بی باک ہو گئی","suraj ki shah pe tinke bhi bebak ho gae"
"بستی میں جتنی اب گزیدہ تہی سب کی سب","basti men jitne abgazida the sab ke sab"
"دریا کی رخ بدلتی ہی تیراک ہو گئی","dariya ke rukh badalte hi tairak ho gae"
"سورج دماغ لوگ بہی ابلاغ فکر میں","surajdimagh log bhi ablaghefikr men"
"زلف شب فراق کی پیچاک ہو گئی","zulfeshabefiraq ke pechak ho gae"
"جب بہی غریب شہر سی کچہ گفتگو ہوئی","jab bhi gharibeshahr se kuchh guftugu hui"
"لہجی ہوائی شام کی نمناک ہو گئی","lahje havaesham ke namnak ho gae"
"بہت رویا وہ ہم کو یاد کر کی","bahut roya vo ham ko yaad kar ke"
"ہماری زندگی برباد کر کی","hamari zindagi barbad kar ke"
"پلٹ کر پہر یہیں ا جائیں گی ہم","palat kar phir yahin aa jaenge ham"
"وہ دیکہی تو ہمیں ازاد کر کی","vo dekhe to hamen azad kar ke"
"رہائی کی کوئی صورت نہیں ہی","rihai ki koi surat nahin hai"
"مگر ہاں منت صیاد کر کی","magar haan minnatesayyad kar ke"
"بدن میرا چہوا تہا اس نی لیکن","badan mera chhua tha us ne lekin"
"گیا ہی روح کو اباد کر کی","gaya hai ruuh ko abad kar ke"
"ہر امر طول دینا چاہتا ہی","har aamir tuul dena chahta hai"
"مقرر ظلم کی میعاد کر کی","muqarrar zulm ki miad kar ke"
"بجا کہ انکہ میں نیندوں کی سلسلی بہی نہیں","baja ki aankh men nindon ke silsile bhi nahin"
"شکست خواب کی اب مجہ میں حوصلی بہی نہیں","shikastekhvab ke ab mujh men hausle bhi nahin"
"نہیں نہیں یہ خبر دشمنوں نی دی ہوگی","nahin nahin ye khabar dushmanon ne di hogi"
"وہ ائی ا کی چلی بہی گئی ملی بہی نہیں","vo aae aa ke chale bhi gae mile bhi nahin"
"یہ کون لوگ اندہیروں کی بات کرتی ہیں","ye kaun log andheron ki baat karte hain"
"ابہی تو چاند تری یاد کی ڈہلی بہی نہیں","abhi to chand tiri yaad ke dhale bhi nahin"
"ابہی سی میری رفوگر کی ہاتہ تہکنی لگی","abhi se mere rafugar ke haath thakne lage"
"ابہی تو چاک مری زخم کی سلی بہی نہیں","abhi to chaak mire zakhm ke sile bhi nahin"
"خفا اگرچہ ہمیشہ ہوئی مگر اب کی","khafa agarche hamesha hue magar ab ke"
"وہ برہمی ہی کہ ہم سی انہیں گلی بہی نہیں","vo barhami hai ki ham se unhen gile bhi nahin"
"بخت سی کوئی شکایت ہی نہ افلاک سی ہی","bakht se koi shikayat hai na aflak se hai"
"یہی کیا کم ہی کہ نسبت مجہی اس خاک سی ہی","yahi kya kam hai ki nisbat mujhe is khaak se hai"
"خواب میں بہی تجہی بہولوں تو روا رکہ مجہ سی","khvab men bhi tujhe bhulun to rava rakh mujh se"
"وہ رویہ جو ہوا کا خس و خاشاک سی ہی","vo ravayya jo hava ka khasokhashak se hai"
"بزم انجم میں قبا خاک کی پہنی میں نی","bazmeanjum men qaba khaak ki pahni main ne"
"اور مری ساری فضیلت اسی پوشاک سی ہی","aur miri saari fazilat isi poshak se hai"
"اتنی روشن ہی تری صبح کہ ہوتا ہی گماں","itni raushan hai tiri subh ki hota hai guman"
"یہ اجالا تو کسی دیدۂ نمناک سی ہی","ye ujala to kisi didaenamnak se hai"
"ہاتہ تو کاٹ دیی کوزہ گروں کی ہم نی","haath to kaat diye kuzagaron ke ham ne"
"معجزی کی وہی امید مگر چاک سی ہی","moajize ki vahi ummid magar chaak se hai"
"بچہڑا ہی جو اک بار تو ملتی نہیں دیکہا","bichhda hai jo ik baar to milte nahin dekha"
"اس زخم کو ہم نی کبہی سلتی نہیں دیکہا","is zakhm ko ham ne kabhi silte nahin dekha"
"اک بار جسی چاٹ گئی دہوپ کی خواہش","ik baar jise chaat gai dhuup ki khvahish"
"پہر شاخ پہ اس پہول کو کہلتی نہیں دیکہا","phir shakh pe us phuul ko khilte nahin dekha"
"یک لخت گرا ہی تو جڑیں تک نکل ائیں","yaklakht gira hai to jaden tak nikal aaiin"
"جس پیڑ کو اندہی میں بہی ہلتی نہیں دیکہا","jis ped ko andhi men bhi hilte nahin dekha"
"کانٹوں میں گہری پہول کو چوم ائی گی لیکن","kanton men ghire phuul ko chuum aaegi lekin"
"تتلی کی پروں کو کبہی چہلتی نہیں دیکہا","titli ke paron ko kabhi chhilte nahin dekha"
"کس طرح مری روح ہری کر گیا اخر","kis tarah miri ruuh hari kar gaya akhir"
"وہ زہر جسی جسم میں کہلتی نہیں دیکہا","vo zahr jise jism men khilte nahin dekha"
"چارہ سازوں کی اذیت نہیں دیکہی جاتی","charasazon ki aziyyat nahin dekhi jaati"
"تیری بیمار کی حالت نہیں دیکہی جاتی","tere bimar ki halat nahin dekhi jaati"
"دینی والی کی مشیت پہ ہی سب کچہ موقوف","dene vaale ki mashiyyat pe hai sab kuchh mauquf"
"مانگنی والی کی حاجت نہیں دیکہی جاتی","mangne vaale ki hajat nahin dekhi jaati"
"دن بہل جاتا ہی لیکن تری دیوانوں کی","din bahal jaata hai lekin tire divanon ki"
"شام ہوتی ہی تو وحشت نہیں دیکہی جاتی","shaam hoti hai to vahshat nahin dekhi jaati"
"تمکنت سی تجہی رخصت تو کیا ہی لیکن","tamkanat se tujhe rukhsat to kiya hai lekin"
"ہم سی ان انکہوں کی حسرت نہیں دیکہی جاتی","ham se in ankhon ki hasrat nahin dekhi jaati"
"کون اترا ہی یہ افاق کی پہنائی میں","kaun utra hai ye afaq ki pahnai men"
"ائنہ خانی کی حیرت نہیں دیکہی جاتی","ainakhane ki hairat nahin dekhi jaati"
"چلنی کا حوصلہ نہیں رکنا محال کر دیا","chalne ka hausla nahin rukna muhal kar diya"
"عشق کی اس سفر نی تو مجہ کو نڈہال کر دیا","ishq ke is safar ne to mujh ko nidhal kar diya"
"ای مری گل زمیں تجہی چاہ تہی اک کتاب کی","ai miri gulzamin tujhe chaah thi ik kitab ki"
"اہل کتاب نی مگر کیا ترا حال کر دیا","ahlekitab ne magar kya tira haal kar diya"
"ملتی ہوئی دلوں کی بیچ اور تہا فیصلہ کوئی","milte hue dilon ke biich aur tha faisla koi"
"اس نی مگر بچہڑتی وقت اور سوال کر دیا","us ne magar bichhadte vaqt aur saval kar diya"
"اب کی ہوا کی ساتہ ہی دامن یار منتظر","ab ke hava ke saath hai damaneyar muntazir"
"بانوئی شب کی ہاتہ میں رکہنا سنبہال کر دیا","banueshab ke haath men rakhna sambhal kar diya"
"ممکنہ فیصلوں میں ایک ہجر کا فیصلہ بہی تہا","mumkina faislon men ek hijr ka faisla bhi tha"
"ہم نی تو ایک بات کی اس نی کمال کر دیا","ham ne to ek baat ki us ne kamal kar diya"
"میری لبوں پہ مہر تہی پر میری شیشہ رو نی تو","mere labon pe mohr thi par mere shisharu ne to"
"شہر کی شہر کو مرا واقف حال کر دیا","shahr ke shahr ko mira vaqifehal kar diya"
"چہرہ و نام ایک ساتہ اج نہ یاد ا سکی","chehra o naam ek saath aaj na yaad aa sake"
"وقت نی کس شبیہ کو خواب و خیال کر دیا","vaqt ne kis shabih ko khvab o khayal kar diya"
"مدتوں بعد اس نی اج مجہ سی کوئی گلہ کیا","muddaton baad us ne aaj mujh se koi gila kiya"
"منصب دلبری پہ کیا مجہ کو بحال کر دیا","mansabedilbari pe kya mujh ko bahal kar diya"
"چراغ راہ بجہا کیا کہ رہنما بہی گیا","charagherah bujha kya ki rahnuma bhi gaya"
"ہوا کی ساتہ مسافر کا نقش پا بہی گیا","hava ke saath musafir ka naqshepa bhi gaya"
"میں پہول چنتی رہی اور مجہی خبر نہ ہوئی","main phuul chunti rahi aur mujhe khabar na hui"
"وہ شخص ا کی مری شہر سی چلا بہی گیا","vo shakhs aa ke mire shahr se chala bhi gaya"
"بہت عزیز سہی اس کو میری دل داری","bahut aziiz sahi us ko meri dildari"
"مگر یہ ہی کہ کبہی دل مرا دکہا بہی گیا","magar ye hai ki kabhi dil mira dukha bhi gaya"
"اب ان دریچوں پہ گہری دبیز پردی ہیں","ab un darichon pe gahre dabiz parde hain"
"وہ تانک جہانک کا معصوم سلسلہ بہی گیا","vo tankjhank ka maasum silsila bhi gaya"
"سب ائی میری عیادت کو وہ بہی ایا تہا","sab aae meri ayadat ko vo bhi aaya tha"
"جو سب گئی تو مرا درد اشنا بہی گیا","jo sab gae to mira dardashna bhi gaya"
"یہ غربتیں مری انکہوں میں کیسی اتری ہیں","ye ghurbaten miri ankhon men kaisi utri hain"
"کہ خواب بہی مری رخصت ہیں رتجگا بہی گیا","ki khvab bhi mire rukhsat hain ratjaga bhi gaya"
"ڈسنی لگی ہیں خواب مگر کس سی بولئی","dasne lage hain khvab magar kis se boliye"
"میں جانتی تہی پال رہی ہوں سنپولیی","main janti thi paal rahi huun sanpoliye"
"بس یہ ہوا کہ اس نی تکلف سی بات کی","bas ye hua ki us ne takalluf se baat ki"
"اور ہم نی روتی روتی دوپٹی بہگو لیی","aur ham ne rote rote dupatte bhigo liye"
"پلکوں پہ کچی نیندوں کا رس پہیلتا ہو جب","palkon pe kachchi nindon ka ras phailta ho jab"
"ایسی میں انکہ دہوپ کی رخ کیسی کہولیی","aise men aankh dhuup ke rukh kaise kholiye"
"تیری برہنہ پائی کی دکہ بانٹتی ہوئی","teri barhanapai ke dukh bantte hue"
"ہم نی خود اپنی پاؤں میں کانٹی چبہو لیی","ham ne khud apne paanv men kante chubho liye"
"میں تیرا نام لی کی تذبذب میں پڑ گئی","main tera naam le ke tazabzub men pad gai"
"سب لوگ اپنی اپنی عزیزوں کو رو لیی","sab log apne apne azizon ko ro liye"
"خوش بو کہیں نہ جائی پہ اصرار ہی بہت","khushbu kahin na jaae pa israr hai bahut"
"اور یہ بہی ارزو کہ ذرا زلف کہولیی","aur ye bhi aarzu ki zara zulf kholiye"
"تصویر جب نئی ہی نیا کینوس بہی ہی","tasvir jab nai hai naya canvas bhi hai"
"پہر طشتری میں رنگ پرانی نہ گہولیی","phir tashtari men rang purane na gholiye"
"دہنک دہنک مری پوروں کی خواب کر دی گا","dhanak dhanak miri poron ke khvab kar dega"
"وہ لمس میری بدن کو گلاب کر دی گا","vo lams mere badan ko gulab kar dega"
"قبائی جسم کی ہر تار سی گزرتا ہوا","qabaejism ke har taar se guzarta hua"
"کرن کا پیار مجہی افتاب کر دی گا","kiran ka pyaar mujhe aftab kar dega"
"جنوں پسند ہی دل اور تجہ تک انی میں","jununpasand hai dil aur tujh tak aane men"
"بدن کو ناؤ لہو کو چناب کر دی گا","badan ko naav lahu ko chanab kar dega"
"میں سچ کہوں گی مگر پہر بہی ہار جاؤں گی","main sach kahungi magar phir bhi haar jaungi"
"وہ جہوٹ بولی گا اور لا جواب کر دی گا","vo jhuut bolega aur lajavab kar dega"
"انا پرست ہی اتنا کہ بات سی پہلی","anaparast hai itna ki baat se pahle"
"وہ اٹہ کی بند مری ہر کتاب کر دی گا","vo uth ke band miri har kitab kar dega"
"سکوت شہر سخن میں وہ پہول سا لہجہ","sukuteshahresukhan men vo phuul sa lahja"
"سماعتوں کی فضا خواب خواب کر دی گا","samaaton ki faza khvab khvab kar dega"
"اسی طرح سی اگر چاہتا رہا پیہم","isi tarah se agar chahta raha paiham"
"سخن وری میں مجہی انتخاب کر دی گا","sukhanvari men mujhe intikhab kar dega"
"مری طرح سی کوئی ہی جو زندگی اپنی","miri tarah se koi hai jo zindagi apni"
"تمہاری یاد کی نام انتساب کر دی گا","tumhari yaad ke naam intisab kar dega"
"دل کا کیا ہی وہ تو چاہی گا مسلسل ملنا","dil ka kya hai vo to chahega musalsal milna"
"وہ ستم گر بہی مگر سوچی کسی پل ملنا","vo sitamgar bhi magar soche kisi pal milna"
"واں نہیں وقت تو ہم بہی ہیں عدیم الفرصت","vaan nahin vaqt to ham bhi hain adimulfursat"
"اس سی کیا ملیی جو ہر روز کہی کل ملنا","us se kya miliye jo har roz kahe kal milna"
"عشق کی رہ کی مسافر کا مقدر معلوم","ishq ki rah ke musafir ka muqaddar maalum"
"شہر کی سوچ میں ہو اور اسی جنگل ملنا","shahr ki soch men ho aur use jangal milna"
"اس کا ملنا ہی عجب طرح کا ملنا جیسی","us ka milna hai ajab tarah ka milna jaise"
"دشت امید میں اندیشی کا بادل ملنا","dashteummid men andeshe ka badal milna"
"دامن شب کو اگر چاک بہی کر لیں تو کہاں","damaneshab ko agar chaak bhi kar liin to kahan"
"نور میں ڈوبا ہوا صبح کا انچل ملنا","nuur men duuba hua subh ka anchal milna"
"دعا کا ٹوٹا ہوا حرف سرد اہ میں ہی","dua ka tuuta hua harf sard aah men hai"
"تری جدائی کا منظر ابہی نگاہ میں ہی","tiri judai ka manzar abhi nigah men hai"
"تری بدلنی کی با وصف تجہ کو چاہا ہی","tire badalne ke bavasf tujh ko chaha hai"
"یہ اعتراف بہی شامل مری گناہ میں ہی","ye etiraf bhi shamil mire gunah men hai"
"عذاب دی گا تو پہر مجہ کو خواب بہی دی گا","azaab dega to phir mujh ko khvab bhi dega"
"میں مطمئن ہوں مرا دل تری پناہ میں ہی","main mutmain huun mira dil tiri panah men hai"
"بکہر چکا ہی مگر مسکرا کی ملتا ہی","bikhar chuka hai magar muskura ke milta hai"
"وہ رکہ رکہاؤ ابہی میری کج کلاہ میں ہی","vo rakh rakhao abhi mere kajkulah men hai"
"جسی بہار کی مہمان خالی چہوڑ گئی","jise bahar ke mehman khali chhod gae"
"وہ اک مکان ابہی تک مکیں کی چاہ میں ہی","vo ik makan abhi tak makin ki chaah men hai"
"یہی وہ دن تہی جب اک دوسری کو پایا تہا","yahi vo din the jab ik dusre ko paaya tha"
"ہماری سال گرہ ٹہیک اب کی ماہ میں ہی","hamari salgirah thiik ab ke maah men hai"
"میں بچ بہی جاؤں تو تنہائی مار ڈالی گی","main bach bhi jaun to tanhai maar dalegi"
"مری قبیلی کا ہر فرد قتل گاہ میں ہی","mire qabile ka har fard qatlgah men hai"
"ایک سورج تہا کہ تاروں کی گہرانی سی اٹہا","ek suraj tha ki taron ke gharane se utha"
"انکہ حیران ہی کیا شخص زمانی سی اٹہا","aankh hairan hai kya shakhs zamane se utha"
"کس سی پوچہوں تری اقا کا پتہ ای رہوار","kis se puchhun tire aaqa ka pata ai rahvar"
"یہ علم وہ ہی نہ اب تک کسی شانی سی اٹہا","ye alam vo hai na ab tak kisi shane se utha"
"حلقۂ خواب کو ہی گرد گلو کس ڈالا","halqaekhvab ko hi girdegulu kas daala"
"دست قاتل کا بہی احساں نہ دوانی سی اٹہا","dasteqatil ka bhi ehsan na divane se utha"
"پہر کوئی عکس شعاعوں سی نہ بننی پایا","phir koi aks shuaon se na banne paaya"
"کیسا مہتاب مری ائنہ خانی سی اٹہا","kaisa mahtab mire ainakhane se utha"
"کیا لکہا تہا سر محضر جسی پہچانتی ہی","kya likha tha saremahzar jise pahchante hi"
"پاس بیٹہا ہوا ہر دوست بہانی سی اٹہا","paas baitha hua har dost bahane se utha"
"گئی موسم میں جو کہلتی تہی گلابوں کی طرح","gae mausam men jo khilte the gulabon ki tarah"
"دل پہ اتریں گی وہی خواب عذابوں کی طرح","dil pe utrenge vahi khvab azabon ki tarah"
"راکہ کی ڈہیر پہ اب رات بسر کرنی ہی","raakh ke dher pe ab raat basar karni hai"
"جل چکی ہیں مری خیمی مری خوابوں کی طرح","jal chuke hain mire kheme mire khvabon ki tarah"
"ساعت دید کہ عارض ہیں گلابی اب تک","saatedid ki aariz hain gulabi ab tak"
"اولیں لمحوں کی گلنار حجابوں کی طرح","avvalin lamhon ke gulnar hijabon ki tarah"
"وہ سمندر ہی تو پہر روح کو شاداب کری","vo samundar hai to phir ruuh ko shadab kare"
"تشنگی کیوں مجہی دیتا ہی سرابوں کی طرح","tishnagi kyuun mujhe deta hai sarabon ki tarah"
"غیر ممکن ہی تری گہر کی گلابوں کا شمار","ghairmumkin hai tire ghar ke gulabon ka shumar"
"میری رستی ہوئی زخموں کی حسابوں کی طرح","mere riste hue zakhmon ke hisabon ki tarah"
"یاد تو ہوں گی وہ باتیں تجہی اب بہی لیکن","yaad to hongi vo baten tujhe ab bhi lekin"
"شیلف میں رکہی ہوئی بند کتابوں کی طرح","shelf men rakkhi hui band kitabon ki tarah"
"کون جانی کہ نئی سال میں تو کس کو پڑہی","kaun jaane ki nae saal men tu kis ko padhe"
"تیرا معیار بدلتا ہی نصابوں کی طرح","tera meaar badalta hai nisabon ki tarah"
"شوخ ہو جاتی ہی اب بہی تری انکہوں کی چمک","shokh ho jaati hai ab bhi tiri ankhon ki chamak"
"گاہی گاہی تری دلچسپ جوابوں کی طرح","gaahe gaahe tire dilchasp javabon ki tarah"
"ہجر کی شب مری تنہائی پہ دستک دی گی","hijr ki shab miri tanhai pe dastak degi"
"تیری خوش بو مری کہوئی ہوئی خوابوں کی طرح","teri khushbu mire khoe hue khvabon ki tarah"
"گواہی کیسی ٹوٹتی معاملہ خدا کا تہا","gavahi kaise tutti muamla khuda ka tha"
